;Unnamed: 0;Unnamed: 0.1;Unnamed: 0.1.1;Unnamed: 0.1.1.1;Unnamed: 0.1.1.1.1;Unnamed: 0.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1;cluster;tyrep;avecqui;aliment_1;aliment_2;score_substitution;score_sainlim_1;score_sainlim_2;score_sainlim;score_sainlim_nor;malus;Valeur_malus;Compteur_malus
45;45;45;45;45;45;45;45;45;45;cluster_1;petit-dejeuner;accompagne;viennoiserie;fruits;0.4599900481298833;76.75344943387296;95.09128212732844;18.337832693455482;0.2462749766130469;True;0.2;3
46;46;46;46;46;46;46;46;46;46;cluster_1;petit-dejeuner;accompagne;jus de fruits (purs et à base  de concentré);eau du robinet;0.5682007831583368;95.12028430661472;99.83238516227932;4.712100855664601;0.06328297064468663;True;0.2;1
47;47;47;47;47;47;47;47;47;47;cluster_1;petit-dejeuner;accompagne;yaourts et assimilés;lait en bouteille ou en brique;0.8517752393014458;91.67958328622757;96.43442144006512;4.754838153837554;0.0638569276266262;False;1.0;0
48;48;48;48;48;48;48;48;48;48;cluster_2;petit-dejeuner;seul;beurre;margarine;0.08771395987609057;47.14204550098295;69.92222764099368;22.78018214001073;0.3059352169667405;False;1.0;0
49;49;49;49;49;49;49;49;49;49;cluster_2;petit-dejeuner;seul;café;thé et infusions;0.00853018372703412;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
50;50;50;50;50;50;50;50;50;50;cluster_2;petit-dejeuner;seul;café;chicorée et poudre maltée;0.008192090395480226;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
51;51;51;51;51;51;51;51;51;51;cluster_2;petit-dejeuner;seul;café;cacao, poudres et boissons cacaotées;0.034800278320081604;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
52;52;52;52;52;52;52;52;52;52;cluster_2;petit-dejeuner;seul;thé et infusions;café;0.991469816272966;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
53;53;53;53;53;53;53;53;53;53;cluster_2;petit-dejeuner;seul;thé et infusions;chicorée et poudre maltée;0.4887640449438202;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
54;54;54;54;54;54;54;54;54;54;cluster_2;petit-dejeuner;seul;thé et infusions;cacao, poudres et boissons cacaotées;0.7111111111111111;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
55;55;55;55;55;55;55;55;55;55;cluster_2;petit-dejeuner;seul;chicorée et poudre maltée;café;0.9918079096045198;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
56;56;56;56;56;56;56;56;56;56;cluster_2;petit-dejeuner;seul;chicorée et poudre maltée;thé et infusions;0.5112359550561797;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
57;57;57;57;57;57;57;57;57;57;cluster_2;petit-dejeuner;seul;chicorée et poudre maltée;cacao, poudres et boissons cacaotées;0.7184466019417476;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
58;58;58;58;58;58;58;58;58;58;cluster_2;petit-dejeuner;seul;cacao, poudres et boissons cacaotées;café;0.9651997216799184;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
59;59;59;59;59;59;59;59;59;59;cluster_2;petit-dejeuner;seul;cacao, poudres et boissons cacaotées;thé et infusions;0.2888888888888889;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
60;60;60;60;60;60;60;60;60;60;cluster_2;petit-dejeuner;seul;cacao, poudres et boissons cacaotées;chicorée et poudre maltée;0.2815533980582524;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
61;61;61;61;61;61;61;61;61;61;cluster_2;petit-dejeuner;seul;biscottes et panification sèche;pain;0.9787760877255042;86.99778787025706;92.77109206705057;5.773304196793504;0.07753480903731626;False;1.0;0
62;62;62;62;62;62;62;62;62;62;cluster_2;petit-dejeuner;seul;yaourts et assimilés;lait en bouteille ou en brique;0.9716666666666668;91.67958328622757;96.43442144006512;4.754838153837554;0.0638569276266262;False;1.0;0
63;63;63;63;63;63;63;63;63;63;cluster_2;petit-dejeuner;seul;sucre et assimilés;confiture et miel;0.3817856287170233;61.33093500768159;79.62831934953721;18.297384341855626;0.24573175991940524;False;1.0;0
64;64;64;64;64;64;64;64;64;64;cluster_2;petit-dejeuner;seul;jus de fruits (purs et à base  de concentré);eau du robinet;0.2436520301042704;95.12028430661472;99.83238516227932;4.712100855664601;0.06328297064468663;True;0.2;1
