code_sougr,libsougr,SAIN 5 opt,LIM3
"[19, 99]",sans,10.6451857891235,2.5686291415427998
"[20, 1]",jambons et charcuteries en pièces,1.71020886207199,19.161135007195
"[20, 2]",saucisses. saucissons. andouilles et boudins,1.29719832514524,26.213592390764603
"[20, 3]",pâtés. terrines. rillettes et foie gras,1.09215453453603,17.0411393284591
"[20, 4]",autre charcuterie ou charcuterie  sans précision,2.22648390615963,20.2955201272875
"[21, 1]",poissons de mer,11.1360159053514,3.2832484894908194
"[21, 2]",poissons d'eau douce,11.1360159053514,3.2832484894908194
"[21, 3]",produits dérivés des poissons,9.02368185263158,9.77448071368084
"[21, 4]",autres poissons ou poissons sans précision,9.02368185263158,9.77448071368084
"[22, 1]",mollusques et coquillage,10.790474440181198,3.3427542420718397
"[22, 2]",crustacés,10.790474440181198,3.3427542420718397
"[22, 3]",autres fruits de mer ou fruits de mer sans précision,9.02368185263158,9.77448071368084
"[23, 1]",légumes racines. tubercules ou bulbes,3.65662687364156,4.57113668367788
"[23, 2]",légumes feuilles,26.643912538832502,2.2611275809552795
"[23, 3]",légumes fruits,26.643912538832502,2.2611275809552795
"[23, 4]",légumes tiges,26.643912538832502,2.2611275809552795
"[23, 5]",choux,26.643912538832502,2.2611275809552795
"[23, 6]",champignons,26.643912538832502,2.2611275809552795
"[23, 7]",haricots verts et petits pois (légumes potagers),26.643912538832502,2.2611275809552795
"[23, 8]",mélanges de légumes. légumes préparés et autres légumes,26.643912538832502,2.2611275809552795
"[24, 99]",sans,3.65662687364156,4.57113668367788
"[25, 1]",légumes secs,12.378499417860901,1.5759361070265
"[25, 2]",légumes secs préparés,12.378499417860901,1.5759361070265
"[26, 99]",sans,9.673017686728231,5.401983818626441
"[27, 1]",fruits secs et châtaignes,1.5950442628832,29.9159417077531
"[27, 2]",oléagineux et graines,3.76372623529723,16.2034688150265
"[27, 3]",mélanges,3.76372623529723,16.2034688150265
"[28, 1]",glaces,1.06833123505598,28.6286128301438
"[28, 2]",desserts glacés,1.72346316032134,24.624137665907398
"[28, 3]",sorbets,0.0,15.694708903176998
"[29, 1]",chocolat en tablettes,1.9971294050015198,56.6415964066558
"[29, 2]",barres chocolatées,1.9971294050015198,56.6415964066558
"[29, 3]",pâte chocolatée à tartiner,1.9971294050015198,56.6415964066558
"[30, 1]",sucre et assimilés,0.477915593490011,38.6709270769404
"[30, 2]",confiserie,5.23112017021755,41.5617481891545
"[30, 3]",confiture et miel,0.0,20.371680650462803
"[31, 1]",eau minérale plate,0.0,0.1676148377206893
"[31, 2]",eau minérale gazeuse,0.0,0.1676148377206893
"[31, 3]",eau du robinet,0.0,0.1676148377206893
"[31, 4]",eau de source,0.0,0.1676148377206893
"[31, 5]",autre eau,0.0,0.1676148377206893
"[32, 1]",jus de fruits (purs et à base  de concentré),8.5136652475157,5.2614862338211505
"[32, 2]",nectars,0.0,7.702308191332929
"[32, 3]",boissons aux fruits,3.4627438700824302,2.5630800625186203
"[32, 4]",sodas et colas,3.4627438700824302,2.5630800625186203
"[32, 5]",autres boissons fraîches,3.4627438700824302,2.5630800625186203
"[33, 1]",vin,1.08420944313934,1.4304920832418502
"[33, 2]",bière,0.321618973571914,0.854259611657328
"[33, 3]",cidre,0.321618973571914,0.854259611657328
"[33, 4]",spiritueux et vins cuits,0.7370941996190848,6.54270509006974
"[33, 5]",cocktails et mélanges,0.7370941996190848,6.54270509006974
"[34, 99]",sans,5.911441931535679,14.154529032995699
"[35, 1]",cacao. poudres et boissons cacaotées,5.911441931535679,14.154529032995699
"[35, 2]",chicorée et poudre maltée,5.911441931535679,14.154529032995699
"[35, 3]",thé et infusions,5.911441931535679,14.154529032995699
"[36, 1]",pizzas,2.4824231833005097,12.108883973038099
"[36, 2]",quiches et tartes salées,2.4824231833005097,12.108883973038099
"[36, 3]",feuilletés et friands,2.75926849960083,13.7679533200704
"[37, 1]",sandwichs baguette,2.44453664956254,12.1779882315063
"[37, 2]",hamburgers et hot-dog,2.44453664956254,12.1779882315063
"[37, 3]",autres sandwichs,2.44453664956254,12.1779882315063
"[38, 1]",potages et soupes,2.91148394330054,4.24477955411476
"[38, 2]",bouillons,2.91148394330054,4.24477955411476
"[39, 1]",plats garnis à base de viande,4.129213288924641,7.3804349884858
"[39, 2]",plats à base de pâtes ou de pommes de terre,2.1976129625560503,8.443662248876329
"[39, 3]",beignets. crêpes et bouchées à la reine,2.4824231833005097,12.108883973038099
"[39, 4]",plats sans garniture,3.9585405976492702,7.009312857403719
"[39, 5]",plats à base de fromage,4.84416978323822,19.5892382114837
"[39, 6]",plats à base de légumes,4.78104944253844,8.10553424163319
"[39, 7]",garnitures composées,2.8519725896920898,2.3487749109966
"[41, 1]",crème dessert et lait gélifié,2.37390474322696,12.337733407657302
"[41, 2]",entremets,4.05562249154427,18.8214088914838
"[42, 1]",compotes,0.45814809736378403,8.945426300215392
"[42, 2]",fruits au sirop,0.0,2.99354144041109
"[43, 1]",sauces,2.7834711839941098,12.194149233641
"[43, 2]",herbes aromatiques,49.6216133425353,3.11476258438675
"[43, 3]",sel et épices,9.81421519538941,38.9302726356492
"[43, 4]",condiments d'accompagnement,2.2563135048336003,65.681537035224
"[43, 5]",condiments d'assaisonnement,2.2563135048336003,65.681537035224
"[44, 99]",sans,12.1314504992664,6.69258768464858
