codgr;libgr;sougr;libsougr;sougr ciqual correspondant;SAIN 5 opt;LIM3;;;;;;
23;légumes (hors pommes de terre);3;légumes fruits;légumes crus, légumes cuits;26.6439125388325;2.26112758095528;;;;;;
23;légumes (hors pommes de terre);4;légumes tiges;légumes crus, légumes cuits;26.6439125388325;2.26112758095528;;;;;;
23;légumes (hors pommes de terre);5;choux;légumes crus, légumes cuits;26.6439125388325;2.26112758095528;;;;;;
23;légumes (hors pommes de terre);6;champignons;légumes crus, légumes cuits;26.6439125388325;2.26112758095528;;;;;légumes crus;1.63383862232371
23;légumes (hors pommes de terre);7;haricots verts et petits pois (légumes potagers);légumes crus, légumes cuits;26.6439125388325;2.26112758095528;;;;;légumes cuits;2.88841653958685
23;légumes (hors pommes de terre);8;mélanges de légumes, légumes préparés et autres légumes;légumes crus, légumes cuits;26.6439125388325;2.26112758095528;;;;;;
24;pommes de terre et apparentés;99;pommes de terre et apparentés;pommes de terre et autres tubercules;3.65662687364156;4.57113668367788;;;;;;
25;légumes secs;1;légumes secs;légumineuses cuites;12.3784994178609;1.5759361070265;;;;;;
25;légumes secs;2;légumes secs préparés;légumineuses cuites;12.3784994178609;1.5759361070265;;;;;;
26;fruits;99;fruits;fruits crus;9.67301768672823;5.40198381862644;;;;;;
27;fruits secs et graines oléagineuses;1;fruits secs et châtaignes;fruits séchés;1.5950442628832;29.9159417077531;;;;;;
27;fruits secs et graines oléagineuses;2;oléagineux et graines;fruits Ã  coque et graines oléagineuses;3.76372623529723;16.2034688150265;;;;;;
27;fruits secs et graines oléagineuses;3;mélanges;fruits Ã  coque et graines oléagineuses;3.76372623529723;16.2034688150265;;;;;;
28;glaces et desserts glacés;1;glaces;glaces;1.06833123505598;28.6286128301438;;;;;;
28;glaces et desserts glacés;2;desserts glacés;desserts glacés;1.72346316032134;24.6241376659074;;;;;;
28;glaces et desserts glacés;3;sorbets;sorbets;0;15.694708903177;;;;;;
29;chocolat;1;chocolat en tablettes;chocolats et produits Ã  base de chocolat;1.99712940500152;56.6415964066558;;;;;;
29;chocolat;2;barres chocolatées;chocolats et produits Ã  base de chocolat;1.99712940500152;56.6415964066558;;;;;;
29;chocolat;3;pâte chocolatée à tartiner;chocolats et produits Ã  base de chocolat;1.99712940500152;56.6415964066558;;;;;;
30;sucres et dérivés;1;sucre et assimilés;sucres, miels et assimilés;0.477915593490011;38.6709270769404;;;;;;
30;sucres et dérivés;2;confiserie;confiseries non chocolatées;5.23112017021755;41.5617481891545;;;;;;
30;sucres et dérivés;3;confiture et miel;confitures et assimilés;0;20.3716806504628;;;;;;
31;eaux;1;eau minérale plate;eaux;0;0.1676148377206893;;;;;;
31;eaux;2;eau minérale gazeuse;eaux;0;0.1676148377206893;;;;;;
31;eaux;3;eau du robinet;eaux;0;0.1676148377206893;;;;;;
31;eaux;4;eau de source;eaux;0;0.1676148377206893;;;;;;
31;eaux;5;autre eau;eaux;0;0.1676148377206893;;;;;;
32;boissons fraîches sans alcool;1;jus de fruits (purs et à base  de concentré);jus;8.5136652475157;5.26148623382115;;;;;;
32;boissons fraîches sans alcool;2;nectars;nectars;0;7.70230819133293;;;;;;
32;boissons fraîches sans alcool;3;boissons aux fruits;boissons rafraÃ®chissantes sans alcool;3.46274387008243;2.56308006251862;;;;;;
32;boissons fraîches sans alcool;4;sodas et colas;boissons rafraÃ®chissantes sans alcool;3.46274387008243;2.56308006251862;;;;;;
32;boissons fraîches sans alcool;5;autres boissons fraîches;boissons rafraÃ®chissantes sans alcool;3.46274387008243;2.56308006251862;;;;;;
