antecedents;consequents;antecedent support;consequent support;support;confidence;lift;leverage;conviction
('cluster_7', 'dejeuner');('poissons de mer',);0.050232983;0.048422643;0.002707638;0.053901598;1.113148611;0.000275224;1.005791105
('cluster_7', 'seul');('poissons de mer',);0.053523078;0.048422643;0.001070462;0.02;0.413029909;-0.001521267;0.970997303
('cluster_7', 'diner', 'famille');('poissons de mer',);0.033011145;0.048422643;0.001542724;0.046733429;0.96511519;-5.58E-05;0.998227972
('cluster_7', 'dejeuner', 'famille');('poissons de mer',);0.025045652;0.048422643;0.00158995;0.063482087;1.311000025;0.000377174;1.016080251
('cluster_5', 'famille');('poissons de mer',);0.062071028;0.048422643;0.004376299;0.070504692;1.456027323;0.001370655;1.023757031
('cluster_5', 'dejeuner');('poissons de mer',);0.038363453;0.048422643;0.004171652;0.108740254;2.245648869;0.002313992;1.067676804
('cluster_5', 'diner');('poissons de mer',);0.038631069;0.048422643;0.002786348;0.072127139;1.48953329;0.00091573;1.025547138
('cluster_5', 'seul');('poissons de mer',);0.039591336;0.048422643;0.001448272;0.036580517;0.755442378;-0.000468846;0.987708234
('cluster_5', 'dejeuner', 'famille');('poissons de mer',);0.02109439;0.048422643;0.002361312;0.111940299;2.311734565;0.001339866;1.071524082
('cluster_5', 'diner', 'famille');('poissons de mer',);0.026777281;0.048422643;0.002014986;0.075249853;1.554021997;0.00071836;1.029010225
('cluster_5', 'dejeuner', 'seul');('poissons de mer',);0.009917511;0.048422643;0.001038977;0.104761905;2.163489999;0.000558745;1.062932154
('diner', 'seul');('poissons de mer',);0.055475096;0.048422643;0.003321579;0.059875142;1.23651122;0.000635328;1.012181891
('cluster_3', 'seul');('poissons de mer',);0.041385933;0.048422643;0.002203891;0.053252187;1.0997373;0.000199875;1.005101193
('cluster_4', 'diner');('poissons de mer',);0.02880801;0.048422643;0.002880801;0.1;2.065149545;0.001485841;1.057308174
('cluster_4', 'dejeuner');('poissons de mer',);0.028792267;0.048422643;0.003841068;0.133406233;2.755038212;0.00244687;1.098066237
('cluster_4', 'seul');('poissons de mer',);0.026430955;0.048422643;0.00113343;0.042882668;0.885591228;-0.000146427;0.994211812
('cluster_4', 'diner', 'famille');('poissons de mer',);0.020669353;0.048422643;0.002062213;0.099771516;2.060431001;0.001061348;1.057039822
('cluster_4', 'dejeuner', 'famille');('poissons de mer',);0.015505951;0.048422643;0.002062213;0.132994924;2.746544065;0.001311374;1.097545312
