codgr;libgr;sougr;libsougr;sougr ciqual correspondant;SAIN 5 opt;LIM3
21;poissons;4;autres poissons ou poissons sans précision;produits Ã  base de poissons et produits de la mer;9.02368185263158;9.77448071368084
22;crustacés et mollusques;1;mollusques et coquillage;mollusques et crustacés cuits, mollusques et crustacés crus;10.790474440181198;3.3427542420718397
22;crustacés et mollusques;2;crustacés;mollusques et crustacés cuits , mollusques et crustacés crus;10.790474440181198;3.3427542420718397
22;crustacés et mollusques;3;autres fruits de mer ou fruits de mer sans précision;produits Ã  base de poissons et produits de la mer;9.02368185263158;9.77448071368084
23;légumes (hors pommes de terre);1;légumes racines, tubercules ou bulbes;pommes de terre et autres tubercules;3.65662687364156;4.57113668367788
23;légumes (hors pommes de terre);2;légumes feuilles;légumes crus, légumes cuits;26.643912538832502;2.2611275809552795
23;légumes (hors pommes de terre);3;légumes fruits;légumes crus, légumes cuits;26.643912538832502;2.2611275809552795
23;légumes (hors pommes de terre);4;légumes tiges;légumes crus, légumes cuits;26.643912538832502;2.2611275809552795
23;légumes (hors pommes de terre);5;choux;légumes crus, légumes cuits;26.643912538832502;2.2611275809552795
23;légumes (hors pommes de terre);6;champignons;légumes crus, légumes cuits;26.643912538832502;2.2611275809552795
23;légumes (hors pommes de terre);7;haricots verts et petits pois (légumes potagers);légumes crus, légumes cuits;26.643912538832502;2.2611275809552795
23;légumes (hors pommes de terre);8;mélanges de légumes, légumes préparés et autres légumes;légumes crus, légumes cuits;26.643912538832502;2.2611275809552795
24;pommes de terre et apparentés;99;pommes de terre et apparentés;pommes de terre et autres tubercules;3.65662687364156;4.57113668367788
25;légumes secs;1;légumes secs;légumineuses cuites;12.378499417860901;1.5759361070265
25;légumes secs;2;légumes secs préparés;légumineuses cuites;12.378499417860901;1.5759361070265
26;fruits;99;fruits;fruits crus;9.673017686728231;5.401983818626441
27;fruits secs et graines oléagineuses;1;fruits secs et châtaignes;fruits séchés;1.5950442628832;29.9159417077531
27;fruits secs et graines oléagineuses;2;oléagineux et graines;fruits Ã  coque et graines oléagineuses;3.76372623529723;16.2034688150265
27;fruits secs et graines oléagineuses;3;mélanges;fruits Ã  coque et graines oléagineuses;3.76372623529723;16.2034688150265
28;glaces et desserts glacés;1;glaces;glaces;1.06833123505598;28.6286128301438
28;glaces et desserts glacés;2;desserts glacés;desserts glacés;1.72346316032134;24.624137665907398
28;glaces et desserts glacés;3;sorbets;sorbets;0.0;15.694708903176998
29;chocolat;1;chocolat en tablettes;chocolats et produits Ã  base de chocolat;1.9971294050015198;56.6415964066558
29;chocolat;2;barres chocolatées;chocolats et produits Ã  base de chocolat;1.9971294050015198;56.6415964066558
29;chocolat;3;pâte chocolatée à tartiner;chocolats et produits Ã  base de chocolat;1.9971294050015198;56.6415964066558
30;sucres et dérivés;1;sucre et assimilés;sucres, miels et assimilés;0.477915593490011;38.6709270769404
30;sucres et dérivés;2;confiserie;confiseries non chocolatées;5.23112017021755;41.5617481891545
30;sucres et dérivés;3;confiture et miel;confitures et assimilés;0.0;20.371680650462803
31;eaux;1;eau minérale plate;eaux;0.0;0.1676148377206893
31;eaux;2;eau minérale gazeuse;eaux;0.0;0.1676148377206893
31;eaux;3;eau du robinet;eaux;0.0;0.1676148377206893
31;eaux;4;eau de source;eaux;0.0;0.1676148377206893
31;eaux;5;autre eau;eaux;0.0;0.1676148377206893
32;boissons fraîches sans alcool;1;jus de fruits (purs et à base  de concentré);jus;8.5136652475157;5.2614862338211505
32;boissons fraîches sans alcool;2;nectars;nectars;0.0;7.702308191332929
