cluster;tyrep;avecqui;aliment_1;aliment_2;score_substitution;score_sainlim_1;score_sainlim_2;score_sainlim;score_sainlim_nor
cluster_2;petit-dejeuner;accompagne;café;cacao, poudres et boissons cacaotées;0.029315106463278427;86.04876542552309;86.04876542552309;0.0;0.0
cluster_2;petit-dejeuner;accompagne;thé et infusions;café;0.9906088424606944;86.04876542552309;86.04876542552309;0.0;0.0
cluster_2;petit-dejeuner;accompagne;thé et infusions;chicorée et poudre maltée;0.4795321637426901;86.04876542552309;86.04876542552309;0.0;0.0
cluster_2;petit-dejeuner;accompagne;thé et infusions;cacao, poudres et boissons cacaotées;0.662878787878788;86.04876542552309;86.04876542552309;0.0;0.0
cluster_2;petit-dejeuner;accompagne;chicorée et poudre maltée;café;0.991263584061368;86.04876542552309;86.04876542552309;0.0;0.0
cluster_2;petit-dejeuner;accompagne;chicorée et poudre maltée;thé et infusions;0.52046783625731;86.04876542552309;86.04876542552309;0.0;0.0
cluster_2;petit-dejeuner;accompagne;chicorée et poudre maltée;cacao, poudres et boissons cacaotées;0.6765285996055228;86.04876542552309;86.04876542552309;0.0;0.0
cluster_2;petit-dejeuner;accompagne;cacao, poudres et boissons cacaotées;café;0.9706848935367215;86.04876542552309;86.04876542552309;0.0;0.0
cluster_2;petit-dejeuner;accompagne;cacao, poudres et boissons cacaotées;thé et infusions;0.33712121212121215;86.04876542552309;86.04876542552309;0.0;0.0
cluster_2;petit-dejeuner;accompagne;cacao, poudres et boissons cacaotées;chicorée et poudre maltée;0.32347140039447736;86.04876542552309;86.04876542552309;0.0;0.0
cluster_2;petit-dejeuner;accompagne;sucre et assimilés;confiture et miel;0.42640897282505424;61.33093500768159;79.62831934953721;18.29738434185562;0.24573175991940524
cluster_2;petit-dejeuner;accompagne;yaourts et assimilés;lait en bouteille ou en brique;0.9736180904522613;91.67958328622757;96.43442144006512;4.754838153837554;0.0638569276266262
cluster_2;petit-dejeuner;accompagne;jus de fruits (purs et à base  de concentré);eau du robinet;0.0570514529458811;95.12028430661472;99.83238516227932;4.712100855664602;0.06328297064468663
cluster_2;petit-dejeuner;accompagne;biscuits sucrés;viennoiserie;0.8800000000000001;63.184104698549575;76.75344943387296;13.569344735323384;0.18223473369013646
cluster_3;petit-dejeuner;seul;beurre;margarine;0.4488747250381539;47.14204550098295;69.92222764099368;22.78018214001073;0.30593521696674053
cluster_3;petit-dejeuner;seul;sucre et assimilés;confiture et miel;0.5016379781371146;61.33093500768159;79.62831934953721;18.29738434185562;0.24573175991940524
cluster_3;petit-dejeuner;seul;biscottes et panification sèche;pain;0.9592848879164325;86.99778787025707;92.77109206705057;5.773304196793504;0.07753480903731626
cluster_3;petit-dejeuner;seul;café;thé et infusions;0.10872978830684576;86.04876542552309;86.04876542552309;0.0;0.0
cluster_3;petit-dejeuner;seul;café;chicorée et poudre maltée;0.057321456297964875;86.04876542552309;86.04876542552309;0.0;0.0
cluster_3;petit-dejeuner;seul;café;cacao, poudres et boissons cacaotées;0.02194553465024467;86.04876542552309;86.04876542552309;0.0;0.0
cluster_3;petit-dejeuner;seul;thé et infusions;café;0.8912702116931541;86.04876542552309;86.04876542552309;0.0;0.0
cluster_3;petit-dejeuner;seul;thé et infusions;chicorée et poudre maltée;0.4207274408671106;86.04876542552309;86.04876542552309;0.0;0.0
cluster_3;petit-dejeuner;seul;thé et infusions;cacao, poudres et boissons cacaotées;0.35304752736498174;86.04876542552309;86.04876542552309;0.0;0.0
cluster_3;petit-dejeuner;seul;chicorée et poudre maltée;café;0.942678543702035;86.04876542552309;86.04876542552309;0.0;0.0
cluster_3;petit-dejeuner;seul;chicorée et poudre maltée;thé et infusions;0.5792725591328893;86.04876542552309;86.04876542552309;0.0;0.0
cluster_3;petit-dejeuner;seul;chicorée et poudre maltée;cacao, poudres et boissons cacaotées;0.31612698446855786;86.04876542552309;86.04876542552309;0.0;0.0
cluster_3;petit-dejeuner;seul;cacao, poudres et boissons cacaotées;café;0.9780544653497554;86.04876542552309;86.04876542552309;0.0;0.0
cluster_3;petit-dejeuner;seul;cacao, poudres et boissons cacaotées;thé et infusions;0.6469524726350182;86.04876542552309;86.04876542552309;0.0;0.0
cluster_3;petit-dejeuner;seul;cacao, poudres et boissons cacaotées;chicorée et poudre maltée;0.6838730155314421;86.04876542552309;86.04876542552309;0.0;0.0
cluster_3;petit-dejeuner;seul;yaourts et assimilés;lait en bouteille ou en brique;0.937892421581915;91.67958328622757;96.43442144006512;4.754838153837554;0.0638569276266262
cluster_3;petit-dejeuner;seul;jus de fruits (purs et à base  de concentré);eau minérale plate;0.026938775510204082;95.12028430661472;99.83238516227932;4.712100855664602;0.06328297064468663
cluster_3;petit-dejeuner;seul;jus de fruits (purs et à base  de concentré);eau du robinet;0.58004755334844;95.12028430661472;99.83238516227932;4.712100855664602;0.06328297064468663
cluster_3;petit-dejeuner;seul;eau minérale plate;eau du robinet;0.9194139194139194;99.83238516227932;99.83238516227932;0.0;0.0
cluster_3;petit-dejeuner;seul;eau du robinet;eau minérale plate;0.08058608058608058;99.83238516227932;99.83238516227932;0.0;0.0
cluster_3;petit-dejeuner;seul;viennoiserie;fruits;0.7472932192626119;76.75344943387296;95.09128212732844;18.337832693455482;0.2462749766130469
cluster_3;petit-dejeuner;accompagne;beurre;margarine;0.25554286829536005;47.14204550098295;69.92222764099368;22.78018214001073;0.30593521696674053
cluster_3;petit-dejeuner;accompagne;café;thé et infusions;0.09663883083766685;86.04876542552309;86.04876542552309;0.0;0.0
cluster_3;petit-dejeuner;accompagne;café;chicorée et poudre maltée;0.0519187833693792;86.04876542552309;86.04876542552309;0.0;0.0
cluster_3;petit-dejeuner;accompagne;café;cacao, poudres et boissons cacaotées;0.007459207459207459;86.04876542552309;86.04876542552309;0.0;0.0
cluster_3;petit-dejeuner;accompagne;thé et infusions;café;0.9033611691623331;86.04876542552309;86.04876542552309;0.0;0.0
cluster_3;petit-dejeuner;accompagne;thé et infusions;chicorée et poudre maltée;0.4023435826889575;86.04876542552309;86.04876542552309;0.0;0.0
cluster_3;petit-dejeuner;accompagne;thé et infusions;cacao, poudres et boissons cacaotées;0.07054673721340389;86.04876542552309;86.04876542552309;0.0;0.0
cluster_3;petit-dejeuner;accompagne;chicorée et poudre maltée;café;0.9480812166306208;86.04876542552309;86.04876542552309;0.0;0.0
cluster_3;petit-dejeuner;accompagne;chicorée et poudre maltée;thé et infusions;0.5976564173110426;86.04876542552309;86.04876542552309;0.0;0.0
cluster_3;petit-dejeuner;accompagne;chicorée et poudre maltée;cacao, poudres et boissons cacaotées;0.163265306122449;86.04876542552309;86.04876542552309;0.0;0.0
cluster_3;petit-dejeuner;accompagne;cacao, poudres et boissons cacaotées;café;0.9925407925407925;86.04876542552309;86.04876542552309;0.0;0.0
cluster_3;petit-dejeuner;accompagne;cacao, poudres et boissons cacaotées;thé et infusions;0.929453262786596;86.04876542552309;86.04876542552309;0.0;0.0
cluster_3;petit-dejeuner;accompagne;cacao, poudres et boissons cacaotées;chicorée et poudre maltée;0.8367346938775511;86.04876542552309;86.04876542552309;0.0;0.0
cluster_3;petit-dejeuner;accompagne;biscottes et panification sèche;pain;0.9613803259846754;86.99778787025707;92.77109206705057;5.773304196793504;0.07753480903731626
cluster_3;petit-dejeuner;accompagne;sucre et assimilés;confiture et miel;0.48736505764618554;61.33093500768159;79.62831934953721;18.29738434185562;0.24573175991940524
cluster_3;petit-dejeuner;accompagne;yaourts et assimilés;lait en bouteille ou en brique;0.9795131845841786;91.67958328622757;96.43442144006512;4.754838153837554;0.0638569276266262
cluster_3;petit-dejeuner;accompagne;jus de fruits (purs et à base  de concentré);eau du robinet;0.4998491676927816;95.12028430661472;99.83238516227932;4.712100855664602;0.06328297064468663
cluster_3;petit-dejeuner;accompagne;viennoiserie;fruits;0.5142129104234614;76.75344943387296;95.09128212732844;18.337832693455482;0.2462749766130469
